Initialized
Press Enter to quit...
Connected
(715.886, 0.574774)
(716.169, 0.577436)
(714.245, 0.580133)
(708.716, 0.583808)
(699.603, 0.586516)
(686.995, 0.588316)
(676.337, 0.588549)
(666.251, 0.587268)
(657.983, 0.585301)
(650.462, 0.583533)
(643.306, 0.581068)
(636.486, 0.579098)
(630.85, 0.576683)
(625.371, 0.575003)
(620.088, 0.573193)
(615.246, 0.570605)
(610.654, 0.568921)
(605.112, 0.567885)
(600.22, 0.566546)
(596.407, 0.565399)
(593.222, 0.56438)
(589.95, 0.563933)
(587.421, 0.562979)
(585.074, 0.561572)
(582.767, 0.560131)
(580.059, 0.558247)
(577.489, 0.557106)
(575.634, 0.556101)
(573.96, 0.555112)
(572.049, 0.554162)
(570.375, 0.553133)
(568.798, 0.552078)
(567.107, 0.551136)
(566.025, 0.550372)
(565.16, 0.549629)
(564.585, 0.549087)
(564.034, 0.548457)
(563.472, 0.54783)
(563.224, 0.547261)
(563.139, 0.546695)
(563.175, 0.546257)
(563.433, 0.545748)
(563.729, 0.545339)
(564.13, 0.545012)
(564.77, 0.544643)
(564.971, 0.544425)
(565.203, 0.544199)
(565.276, 0.544192)
(565.64, 0.54397)
(565.963, 0.543768)
(565.974, 0.543783)
(565.98, 0.543954)
(566.274, 0.543858)
(566.586, 0.543648)
(566.894, 0.543434)
(567.184, 0.543202)
(567.296, 0.543032)
(567.427, 0.542862)
(567.542, 0.542681)
(567.087, 0.542674)
(564.762, 0.543556)
(564.864, 0.543062)
(564.897, 0.542662)
(564.772, 0.542153)
(564.665, 0.541606)
(564.507, 0.541107)
(564.3, 0.540608)
(563.94, 0.539974)
(563.568, 0.539392)
(562.961, 0.538741)
(562.424, 0.538099)
(561.85, 0.537645)
(561.408, 0.537235)
(560.894, 0.536803)
(560.242, 0.53625)
(559.693, 0.535748)
(559.15, 0.53525)
(558.535, 0.534755)
(557.908, 0.534264)
(557.296, 0.533793)
(556.574, 0.533268)
(555.883, 0.532791)
(555.226, 0.532324)
(554.75, 0.531761)
(554.135, 0.531231)
(553.589, 0.530726)
(552.77, 0.529993)
(552.272, 0.529485)
(552.024, 0.529096)
(551.544, 0.528824)
(551.081, 0.528627)
(550.644, 0.528352)
(550.214, 0.52811)
(549.847, 0.527895)
(549.415, 0.527711)
(548.845, 0.52759)
(548.262, 0.527358)
(547.731, 0.527131)
(547.472, 0.526986)
(546.83, 0.526945)
(546.12, 0.526877)
(545.363, 0.526994)
(544.818, 0.527026)
(544.191, 0.52698)
(543.571, 0.52679)
(543.056, 0.526565)
(540.361, 0.527902)
(539.5, 0.527744)
(539.174, 0.527383)
(539.005, 0.527115)
(539.135, 0.526869)
(539.171, 0.526641)
(539.293, 0.526485)
(541.17, 0.525995)
(542.028, 0.525798)
(544.17, 0.525458)
(546.991, 0.525375)
(551.076, 0.524976)
(556.784, 0.52488)
(561.646, 0.525674)
(568.299, 0.526903)
(575.219, 0.528181)
(582.248, 0.529406)
(589.774, 0.530795)
(600.644, 0.533099)
(610.4, 0.535102)
(620.035, 0.537442)
(629.222, 0.540014)
(640.376, 0.54321)
(651.18, 0.545539)
(663.162, 0.548122)
(674.48, 0.550684)
(685.354, 0.553178)
(696.896, 0.555484)
(706.843, 0.557513)
(719.19, 0.559441)
(729.471, 0.560684)
(739.929, 0.561426)
(751.484, 0.562426)
(763.158, 0.56329)
(775.478, 0.56382)
(787.529, 0.563405)
(801.042, 0.564435)
(814.931, 0.565185)
(829.753, 0.566017)
(843.86, 0.565821)
(856.988, 0.566329)
(872.561, 0.566878)
(888.764, 0.567481)
(905.141, 0.567953)
(920.374, 0.567063)
(937.916, 0.566738)
(955.237, 0.566312)
(974.258, 0.565667)
(992.896, 0.567117)
(1012.16, 0.567074)
(1031.63, 0.567654)
(1054.78, 0.566723)
(1074.72, 0.566994)
(1098.65, 0.566592)
(1123.1, 0.565566)
(1147.96, 0.564964)
(1173.44, 0.56612)
(1200.08, 0.566209)
(1227.04, 0.565241)
(1255.92, 0.564065)
(1284.04, 0.563574)
(1313.63, 0.563928)
(1344.02, 0.564454)
(1373.93, 0.562529)
(1406.05, 0.560994)
(1434.45, 0.560658)
(1462.72, 0.560046)
(1491.43, 0.559437)
(1521.67, 0.559468)
(1551.08, 0.556666)
(1578.26, 0.555395)
(1605.87, 0.554646)
(1633.74, 0.553558)
(1659.79, 0.551952)
(1685.93, 0.551893)
(1710.19, 0.550896)
(1735.15, 0.548022)
(1756.15, 0.545342)
(1776.96, 0.54491)
(1799.27, 0.543355)
(1818.29, 0.542439)
(1838.6, 0.539308)
(1859.09, 0.539064)
(1876.78, 0.538912)
(1896.14, 0.537564)
(1912.56, 0.537082)
(1926.8, 0.535739)
(1940.9, 0.53237)
(1953.69, 0.528392)
(1966.63, 0.52749)
(1974.93, 0.525469)
(1987.84, 0.522578)
(1998.05, 0.523535)
(2005.16, 0.525413)
(2012.01, 0.525662)
(2018, 0.525668)
(2022.53, 0.524992)
(2026.26, 0.5251)
(2031.77, 0.524148)
(2035.9, 0.522615)
(2038.19, 0.521643)
(2039.59, 0.520433)
(2040.15, 0.520022)
(2040.82, 0.518056)
(2040.79, 0.517358)
(2039.53, 0.516999)
(2036.9, 0.517654)
(2030.91, 0.520238)
(2020.84, 0.521926)
(2010.9, 0.524085)
(1998.43, 0.525346)
(1984.52, 0.526075)
(1968.85, 0.527072)
(1952.73, 0.527325)
(1932.45, 0.528598)
(1901.6, 0.527837)
(1884.95, 0.52897)
(1864.17, 0.530665)
(1843.63, 0.53009)
(1819.82, 0.531474)
(1798.29, 0.531028)
(1774.92, 0.533915)
(1750.71, 0.534929)
(1726.25, 0.536492)
(1700.59, 0.53811)
(1674.4, 0.541559)
(1649.79, 0.543118)
(1625.78, 0.54311)
(1601.13, 0.541389)
(1575.76, 0.54424)
(1550.06, 0.546078)
(1461.07, 0.547158)
(1343.88, 0.594793)
(1327.65, 0.58587)
(1218.38, 0.575439)
(1152.03, 0.581741)
(1101.83, 0.585452)
(1059.97, 0.581473)
(1022.77, 0.576928)
(979.253, 0.578252)
(940.351, 0.579726)
(906.045, 0.57602)
(874.088, 0.575479)
(842.904, 0.572885)
(811.844, 0.573403)
(783.747, 0.571135)
(757.122, 0.570464)
(733.685, 0.566346)
(712.535, 0.561867)
(692.41, 0.557269)
(674.185, 0.553264)
(658.981, 0.550594)
(646.267, 0.547871)
(629.938, 0.541276)
(617.396, 0.535438)
(609.281, 0.532364)
(603.671, 0.530842)
(599.426, 0.530043)
(591.036, 0.535151)
(588.082, 0.53725)
(582.948, 0.5466)
(579.121, 0.558881)
(576.47, 0.572779)
(574.741, 0.589837)
(574.079, 0.604176)
(574.413, 0.619955)
(578.036, 0.648953)
(586.689, 0.685704)
(591.235, 0.707411)
(596.412, 0.722705)
(601.656, 0.736027)
(605.845, 0.746441)
(609.125, 0.754529)
